SMILES	Actividad	R1_CC(C)=CCCC(C)=CCCC(C)=CC[*:1]	R1_CC(C)=CCCC(C)=CC[*:1]	R1_CC(C)=CC[*:1]	R1_CCCC[*:1]	R2_O[*:2]	R2_[H][*:2]	R3_O[*:3]	R3_[H][*:3]	R4_O[*:4]	R4_[H][*:4]	R5_C(O[*:5])O[*:6]	R5_CO[*:5]	R5_O[*:5]	R5_[H][*:5]	R6_C(O[*:5])O[*:6]	R6_CO[*:6]	R6_O[*:6]	R6_[H][*:6]
C1C=C(O)C=C(C(=O)OCCCC)C=1	3.51898757904343	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	1
C1C(O)=CC=C(C(=O)OCCCC)C=1	3.68444946557809	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0
C1C(O)=CC=C(C(=O)OC/C=C(\C)/C)C=1	3.80327127737671	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0
C1C=C(O)C(O)=C(C(=O)OCCCC)C=1	3.93181413825384	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1
C1C(O)=C(O)C=C(C(=O)OCCCC)C=1	3.52768245368316	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0
C1C(O)=CC(O)=C(C(=O)OCCCC)C=1	3.88941028970075	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0
C1C(O)=CC(O)=C(C(=O)OC/C=C(\C)/C)C=1	3.67060212063896	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0
C1(O)C=CC(O)=C(C(=O)OCCCC)C=1	3.29123927630968	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1
C1C(O)=C(O)C(O)=C(C(=O)OCCCC)C=1	3.34591976469343	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0
C12OCOC1=CC=C(C(=O)OCCCC)C=2	3.57430278663741	0	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0
C1C(O)=C(OC)C=C(C(=O)OCCCC)C=1	3.91793306571489	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0
CCCCOC(=O)c1ccc(OC)c(O)c1	3.8847224086041	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0
