SMILES	Actividad	R1_CC(C)=CCCC(C)=CCCC(C)=CC[*:1]	R1_CC(C)=CCCC(C)=CC[*:1]	R1_CC(C)=CC[*:1]	R1_CCCC[*:1]	R2_O[*:2]	R2_[H][*:2]	R3_O[*:3]	R3_[H][*:3]	R4_O[*:4]	R4_[H][*:4]	R5_C(O[*:5])O[*:6]	R5_CO[*:5]	R5_O[*:5]	R5_[H][*:5]	R6_C(O[*:5])O[*:6]	R6_CO[*:6]	R6_O[*:6]	R6_[H][*:6]
C1C=CC=C(C(=O)OCCCC)C=1	3.52768245368316	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	1
C1C=CC=C(C(=O)OC/C=C(\C)/C)C=1	3.38352448611143	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1
C1=C(C(=CC=C1)C(=O)OCCCC)O	3.45879530931674	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1
C1=CC(=C(C=C1)O)C(=O)OCC=C(CCC=C(C)C)C	3.45829597671571	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1
C1=CC(=C(C=C1)O)C(=O)OCC=C(CCC=C(CCC=C(C)C)C)C	3.72010501998836	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1
C1C=C(O)C=C(C(=O)OCCCC)C=1	3.40120949323689	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	1
C1C(O)=CC=C(C(=O)OCCCC)C=1	3.34275287011628	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0
C1C(O)=CC=C(C(=O)OC/C=C(\C)/C)C=1	3.70333480973847	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0
C1C(O)=CC=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/C)C=1	3.68824613894425	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0
C1C(O)=CC=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)C=1	4.39685562737982	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0
C1C=C(O)C(O)=C(C(=O)OCCCC)C=1	3.39512622944736	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1
C1C=C(O)C(O)=C(C(=O)OC/C=C(\C)/C)C=1	3.43854082875808	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1
C1C=C(O)C(O)=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/C)C=1	3.47547406337362	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1
C1C=C(O)C(O)=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)C=1	3.63096977819085	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1
C1C=CC(O)=C(C(=O)OCCCC)C=1O	3.41634789145796	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1
C1C(O)=C(O)C=C(C(=O)OCCCC)C=1	3.60519822283729	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0
C1C(O)=C(O)C=C(C(=O)OC/C=C(\C)/C)C=1	3.64263696938486	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0
C1C(O)=C(O)C=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/C)C=1	3.63339028960757	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0
C1C(O)=CC(O)=C(C(=O)OCCCC)C=1	3.48718224143513	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0
C1C(O)=CC(O)=C(C(=O)OC/C=C(\C)/C)C=1	3.51655535190146	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0
C1C(O)=CC(O)=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/C)C=1	3.83209218999852	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0
C1(O)C=CC(O)=C(C(=O)OCCCC)C=1	3.33951398421503	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1
