Core	R1	R2	R3	R4	R5	R6
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CCCC[*:1]	[H][*:2]	[H][*:3]	[H][*:4]	[H][*:5]	[H][*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CC[*:1]	[H][*:2]	[H][*:3]	[H][*:4]	[H][*:5]	[H][*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CCCC(C)=CC[*:1]	[H][*:2]	[H][*:3]	[H][*:4]	[H][*:5]	[H][*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CCCC(C)=CCCC(C)=CC[*:1]	[H][*:2]	[H][*:3]	[H][*:4]	[H][*:5]	[H][*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CCCC[*:1]	[H][*:2]	[H][*:3]	O[*:4]	[H][*:5]	[H][*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CC[*:1]	[H][*:2]	[H][*:3]	O[*:4]	[H][*:5]	[H][*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CCCC(C)=CC[*:1]	[H][*:2]	[H][*:3]	O[*:4]	[H][*:5]	[H][*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CCCC(C)=CCCC(C)=CC[*:1]	[H][*:2]	[H][*:3]	O[*:4]	[H][*:5]	[H][*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CCCC[*:1]	[H][*:2]	[H][*:3]	[H][*:4]	O[*:5]	[H][*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CCCC[*:1]	[H][*:2]	[H][*:3]	[H][*:4]	[H][*:5]	O[*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CC[*:1]	[H][*:2]	[H][*:3]	[H][*:4]	[H][*:5]	O[*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CCCC(C)=CC[*:1]	[H][*:2]	[H][*:3]	[H][*:4]	[H][*:5]	O[*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CCCC(C)=CCCC(C)=CC[*:1]	[H][*:2]	[H][*:3]	[H][*:4]	[H][*:5]	O[*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CCCC[*:1]	[H][*:2]	[H][*:3]	O[*:4]	O[*:5]	[H][*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CC[*:1]	[H][*:2]	[H][*:3]	O[*:4]	O[*:5]	[H][*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CCCC(C)=CC[*:1]	[H][*:2]	[H][*:3]	O[*:4]	O[*:5]	[H][*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CCCC(C)=CCCC(C)=CC[*:1]	[H][*:2]	[H][*:3]	O[*:4]	O[*:5]	[H][*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CCCC[*:1]	[H][*:2]	O[*:3]	O[*:4]	[H][*:5]	[H][*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CCCC[*:1]	[H][*:2]	[H][*:3]	[H][*:4]	O[*:5]	O[*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CC[*:1]	[H][*:2]	[H][*:3]	[H][*:4]	O[*:5]	O[*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CCCC(C)=CC[*:1]	[H][*:2]	[H][*:3]	[H][*:4]	O[*:5]	O[*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CCCC(C)=CCCC(C)=CC[*:1]	[H][*:2]	[H][*:3]	[H][*:4]	O[*:5]	O[*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CCCC[*:1]	[H][*:2]	[H][*:3]	O[*:4]	[H][*:5]	O[*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CC[*:1]	[H][*:2]	[H][*:3]	O[*:4]	[H][*:5]	O[*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CCCC(C)=CC[*:1]	[H][*:2]	[H][*:3]	O[*:4]	[H][*:5]	O[*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CCCC(C)=CCCC(C)=CC[*:1]	[H][*:2]	[H][*:3]	O[*:4]	[H][*:5]	O[*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CCCC[*:1]	O[*:2]	[H][*:3]	O[*:4]	[H][*:5]	[H][*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CC[*:1]	O[*:2]	[H][*:3]	O[*:4]	[H][*:5]	[H][*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CCCC(C)=CC[*:1]	O[*:2]	[H][*:3]	O[*:4]	[H][*:5]	[H][*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CCCC(C)=CCCC(C)=CC[*:1]	O[*:2]	[H][*:3]	O[*:4]	[H][*:5]	[H][*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CCCC[*:1]	[H][*:2]	[H][*:3]	O[*:4]	O[*:5]	O[*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CC[*:1]	[H][*:2]	[H][*:3]	O[*:4]	O[*:5]	O[*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CCCC(C)=CC[*:1]	[H][*:2]	[H][*:3]	O[*:4]	O[*:5]	O[*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CC(C)=CCCC(C)=CCCC(C)=CC[*:1]	[H][*:2]	[H][*:3]	O[*:4]	O[*:5]	O[*:6]
O=C(O[*:1])c1c([*:3])c([*:2])c([*:6])c([*:5])c1[*:4]	CCCC[*:1]	[H][*:2]	[H][*:3]	[H][*:4]	C(O[*:5])O[*:6]	C(O[*:5])O[*:6]
