Variable	Coeficiente
R6_[H][*:6]	-0.7509226215420657
R1_CCCC[*:1]	0.5613122032645981
R1_CC(C)=CCCC(C)=CCCC(C)=CC[*:1]	-0.5025545443478401
R6_O[*:6]	0.45122226080591604
R4_[H][*:4]	-0.40533075393584483
R4_O[*:4]	0.4053307539358447
R6_CO[*:6]	0.3230995669031038
R5_CO[*:5]	0.26131393286796034
R5_[H][*:5]	-0.2140785098009549
R2_O[*:2]	0.16991702143641868
R2_[H][*:2]	-0.1699170214364184
R1_CC(C)=CCCC(C)=CC[*:1]	-0.15969932775730988
R1_CC(C)=CC[*:1]	0.10094166884055111
R5_O[*:5]	-0.02383621690005148
R5_C(O[*:5])O[*:6]	-0.023399206166954102
R6_C(O[*:5])O[*:6]	-0.023399206166954033
R3_O[*:3]	-0.003127944849946275
R3_[H][*:3]	0.0031279448499462246
