Variable	Coeficiente
R1_CC(C)=CCCC(C)=CCCC(C)=CC[*:1]	-21.31229689838343
R6_[H][*:6]	-20.2252282259341
R1_CCCC[*:1]	19.97362613473779
R4_[H][*:4]	-14.195151694089509
R4_O[*:4]	14.195151694089505
R6_O[*:6]	12.509943300370432
R5_[H][*:5]	-10.624327013902576
R5_CO[*:5]	8.826981275027954
R3_[H][*:3]	-5.440750448139179
R3_O[*:3]	5.440750448139176
R1_CC(C)=CC[*:1]	4.323148188119775
R6_C(O[*:5])O[*:6]	3.9863634956193246
R5_C(O[*:5])O[*:6]	3.9863634956193237
R6_CO[*:6]	3.728921429944339
R2_O[*:2]	3.440063515508066
R2_[H][*:2]	-3.440063515508066
R1_CC(C)=CCCC(C)=CC[*:1]	-2.9844774244741554
R5_O[*:5]	-2.1890177567447062
