Variable	Coeficiente
R1_CCCC[*:1]	39.93861839508613
R3_O[*:3]	-24.17263349614353
R3_[H][*:3]	24.172633496143522
R1_CC(C)=CCCC(C)=CC[*:1]	-19.06644979196474
R1_CC(C)=CCCC(C)=CCCC(C)=CC[*:1]	-16.589859720098023
R6_O[*:6]	11.61506494163913
R6_CO[*:6]	-7.866080629594477
R5_[H][*:5]	6.59601697018847
R2_[H][*:2]	5.740824298600497
R2_O[*:2]	-5.74082429860049
R4_[H][*:4]	-5.031761402881262
R4_O[*:4]	5.031761402881255
R1_CC(C)=CC[*:1]	-4.282308883023377
R6_[H][*:6]	-3.7443895619542267
R5_CO[*:5]	-3.6673329525178575
R5_O[*:5]	-2.924089267580201
R6_C(O[*:5])O[*:6]	-0.004594750090420424
R5_C(O[*:5])O[*:6]	-0.004594750090418786
