Variable	Coeficiente
R1_CCCC[*:1]	24.251434113133293
R1_CC(C)=CCCC(C)=CC[*:1]	-11.97349773194815
R1_CC(C)=CCCC(C)=CCCC(C)=CC[*:1]	-10.05518766758904
R6_O[*:6]	6.736996585134878
R6_[H][*:6]	-6.265002892522446
R3_O[*:3]	-4.1139133806245765
R3_[H][*:3]	4.1139133806245765
R5_[H][*:5]	3.532963119263005
R4_O[*:4]	2.2535969768277333
R4_[H][*:4]	-2.253596976827733
R1_CC(C)=CC[*:1]	-2.2227487135961
R2_[H][*:2]	1.965406226615844
R2_O[*:2]	-1.9654062266158425
R5_CO[*:5]	-1.5593797025935732
R6_C(O[*:5])O[*:6]	-1.1933845059269197
R5_C(O[*:5])O[*:6]	-1.193384505926919
R5_O[*:5]	-0.7801989107425089
R6_CO[*:6]	0.7213908133144757
